firm_id,quarter,year,qtr,gscpi,sc_intensity,ccc_days,dio,dso,dpo,assets_bil,revenue_bil,rev_growth,roa,leverage
F00001,2020Q3,2020,3,2.65,0.109,73.87,96.12,53.65,71.15,0,0,0,0,0
F00001,2020Q4,2020,4,2.43,0.109,78.72,85.04,51.39,56.46,0,0,0,0,0
F00001,2021Q1,2021,1,3.71,0.109,88.18,76.64,61.77,49.37,0,0,0,0,0
F00001,2021Q2,2021,2,3.8,0.109,84.34,97.27,44.47,57.59,0,0,0,0,0
F00001,2021Q3,2021,3,3.96,0.109,62.89,58.51,49.93,47.32,0,0,0,0,0
F00001,2021Q4,2021,4,4.07,0.109,81.51,77.37,66.52,65.11,0,0,0,0,0
F00001,2022Q1,2022,1,4.25,0.109,43.54,58.1,47.42,65.48,0,0,0,0,0
F00001,2022Q2,2022,2,3.9,0.109,41.94,51.81,56.04,68.98,0,0,0,0,0
F00001,2022Q3,2022,3,3.34,0.109,76.22,86.7,48.09,56.07,0,0,0,0,0
F00001,2022Q4,2022,4,3.42,0.109,37.56,79.09,46.2,86.51,0,0,0,0,0
F00001,2023Q1,2023,1,0.29,0.109,48.51,75.33,32.68,60.02,0,0,0,0,0
F00001,2023Q2,2023,2,0.37,0.109,73.5,83.03,56.88,64.17,0,0,0,0,0
F00001,2023Q3,2023,3,-0.51,0.109,53.7,76.87,49.14,70.9,0,0,0,0,0
F00001,2023Q4,2023,4,-0.21,0.109,61.85,87.0,45.7,73.4,0,0,0,0,0
F00001,2024Q1,2024,1,-0.01,0.109,36.09,79.14,47.29,90.83,0,0,0,0,0
F00001,2024Q2,2024,2,-0.02,0.109,28.9,65.56,45.9,82.79,0,0,0,0,0
F00001,2024Q3,2024,3,0.43,0.109,71.52,78.56,54.91,58.5,0,0,0,0,0
F00001,2024Q4,2024,4,-0.31,0.109,65.37,74.49,46.84,57.7,0,0,0,0,0
F00002,2014Q1,2014,1,0.32,0.139,39.7,55.65,49.4,62.39,0,0,0,0,0
F00002,2014Q2,2014,2,0.09,0.139,66.73,76.96,44.71,55.98,0,0,0,0,0
F00002,2014Q3,2014,3,-0.31,0.139,49.93,77.32,40.38,69.8,0,0,0,0,0
F00002,2014Q4,2014,4,-0.18,0.139,46.86,59.31,48.05,65.03,0,0,0,0,0
F00002,2015Q1,2015,1,-0.03,0.139,31.1,42.07,50.56,61.33,0,0,0,0,0
F00002,2015Q2,2015,2,0.17,0.139,51.26,98.83,45.07,91.76,0,0,0,0,0
F00002,2015Q3,2015,3,-0.06,0.139,59.74,75.26,41.07,56.71,0,0,0,0,0
F00002,2015Q4,2015,4,0.17,0.139,77.22,66.07,46.76,39.6,0,0,0,0,0
F00002,2016Q1,2016,1,0.27,0.139,75.03,67.98,59.16,52.7,0,0,0,0,0
F00002,2016Q2,2016,2,-0.14,0.139,107.37,117.47,38.04,47.06,0,0,0,0,0
F00002,2016Q3,2016,3,-0.17,0.139,46.64,77.09,50.55,80.48,0,0,0,0,0
F00002,2016Q4,2016,4,0.11,0.139,8.91,46.16,41.61,79.79,0,0,0,0,0
F00002,2017Q1,2017,1,-0.22,0.139,7.84,40.65,44.72,81.78,0,0,0,0,0
F00002,2017Q2,2017,2,-0.2,0.139,74.1,78.43,47.47,50.12,0,0,0,0,0
F00002,2017Q3,2017,3,-0.09,0.139,46.81,70.7,49.03,71.96,0,0,0,0,0
F00002,2017Q4,2017,4,0.56,0.139,43.57,53.73,39.23,50.67,0,0,0,0,0
F00002,2018Q1,2018,1,0.2,0.139,10.98,35.68,42.49,70.24,0,0,0,0,0
F00002,2018Q2,2018,2,0.43,0.139,63.84,71.84,53.35,59.87,0,0,0,0,0
F00002,2018Q3,2018,3,-0.12,0.139,41.15,59.88,57.22,76.93,0,0,0,0,0
F00002,2018Q4,2018,4,-0.14,0.139,92.87,119.95,44.74,72.44,0,0,0,0,0
F00002,2019Q1,2019,1,0.21,0.139,45.04,67.05,63.7,82.91,0,0,0,0,0
F00002,2019Q2,2019,2,-0.2,0.139,35.33,64.0,48.43,74.4,0,0,0,0,0
F00002,2019Q3,2019,3,-0.22,0.139,1.56,36.17,29.75,64.15,0,0,0,0,0
F00002,2019Q4,2019,4,-0.44,0.139,59.67,75.18,38.84,50.31,0,0,0,0,0
F00002,2020Q1,2020,1,1.65,0.139,53.17,77.91,49.28,75.6,0,0,0,0,0
F00002,2020Q2,2020,2,2.57,0.139,66.99,71.77,57.85,61.31,0,0,0,0,0
F00002,2020Q3,2020,3,2.65,0.139,72.82,66.96,42.44,36.89,0,0,0,0,0
F00002,2020Q4,2020,4,2.43,0.139,68.42,78.12,44.05,54.49,0,0,0,0,0
F00002,2021Q1,2021,1,3.71,0.139,93.58,102.43,48.27,55.94,0,0,0,0,0
F00002,2021Q2,2021,2,3.8,0.139,53.38,75.79,37.92,60.46,0,0,0,0,0
F00002,2021Q3,2021,3,3.96,0.139,84.85,104.8,55.72,74.24,0,0,0,0,0
F00002,2021Q4,2021,4,4.07,0.139,61.87,87.37,39.14,65.49,0,0,0,0,0
F00002,2022Q1,2022,1,4.25,0.139,58.33,66.15,64.4,68.41,0,0,0,0,0
F00002,2022Q2,2022,2,3.9,0.139,69.21,85.31,44.86,61.9,0,0,0,0,0
F00002,2022Q3,2022,3,3.34,0.139,66.35,81.87,31.36,48.43,0,0,0,0,0
F00002,2022Q4,2022,4,3.42,0.139,70.62,95.67,62.96,83.9,0,0,0,0,0
F00002,2023Q1,2023,1,0.29,0.139,28.34,82.06,29.9,84.13,0,0,0,0,0
F00002,2023Q2,2023,2,0.37,0.139,38.71,53.55,61.38,72.43,0,0,0,0,0
F00002,2023Q3,2023,3,-0.51,0.139,46.29,74.4,39.15,66.34,0,0,0,0,0
F00002,2023Q4,2023,4,-0.21,0.139,59.04,90.6,33.61,68.81,0,0,0,0,0
F00002,2024Q1,2024,1,-0.01,0.139,35.48,57.6,46.69,67.42,0,0,0,0,0
F00002,2024Q2,2024,2,-0.02,0.139,75.34,79.72,45.78,53.67,0,0,0,0,0
F00002,2024Q3,2024,3,0.43,0.139,68.07,82.65,44.01,57.02,0,0,0,0,0
F00002,2024Q4,2024,4,-0.31,0.139,61.41,88.46,43.83,70.51,0,0,0,0,0
F00003,2014Q1,2014,1,0.32,0.14,59.32,68.84,51.37,62.55,0,0,0,0,0
F00003,2014Q2,2014,2,0.09,0.14,67.9,80.25,44.14,54.61,0,0,0,0,0
F00003,2014Q3,2014,3,-0.31,0.14,20.53,58.89,37.12,75.39,0,0,0,0,0
F00003,2014Q4,2014,4,-0.18,0.14,88.4,93.55,63.23,65.29,0,0,0,0,0
F00003,2015Q1,2015,1,-0.03,0.14,61.04,64.28,44.4,47.14,0,0,0,0,0
F00003,2015Q2,2015,2,0.17,0.14,58.91,74.61,41.46,55.64,0,0,0,0,0
F00003,2015Q3,2015,3,-0.06,0.14,84.74,96.8,43.72,55.04,0,0,0,0,0
F00003,2015Q4,2015,4,0.17,0.14,55.09,84.62,39.66,70.65,0,0,0,0,0
F00003,2016Q1,2016,1,0.27,0.14,82.22,81.72,56.41,58.18,0,0,0,0,0
F00003,2016Q2,2016,2,-0.14,0.14,22.23,58.11,41.83,79.35,0,0,0,0,0
F00003,2016Q3,2016,3,-0.17,0.14,32.5,70.03,35.47,71.74,0,0,0,0,0
F00003,2016Q4,2016,4,0.11,0.14,24.13,56.34,39.9,67.87,0,0,0,0,0
F00003,2017Q1,2017,1,-0.22,0.14,65.89,75.41,46.39,57.99,0,0,0,0,0
F00003,2017Q2,2017,2,-0.2,0.14,63.75,79.17,40.15,56.96,0,0,0,0,0
F00003,2017Q3,2017,3,-0.09,0.14,32.31,47.26,42.34,57.43,0,0,0,0,0
F00003,2017Q4,2017,4,0.56,0.14,42.2,74.17,45.74,78.17,0,0,0,0,0
F00003,2018Q1,2018,1,0.2,0.14,28.66,65.64,35.47,73.5,0,0,0,0,0
F00003,2018Q2,2018,2,0.43,0.14,66.81,92.54,39.36,64.97,0,0,0,0,0
F00003,2018Q3,2018,3,-0.12,0.14,70.99,68.69,45.08,44.43,0,0,0,0,0
F00003,2018Q4,2018,4,-0.14,0.14,41.21,79.8,54.04,91.99,0,0,0,0,0
F00003,2019Q1,2019,1,0.21,0.14,23.48,69.84,45.25,88.14,0,0,0,0,0
F00003,2019Q2,2019,2,-0.2,0.14,72.46,77.29,33.23,34.02,0,0,0,0,0
F00003,2019Q3,2019,3,-0.22,0.14,47.79,49.27,53.55,54.58,0,0,0,0,0
F00003,2019Q4,2019,4,-0.44,0.14,53.29,52.55,49.89,51.78,0,0,0,0,0
F00003,2020Q1,2020,1,1.65,0.14,33.17,58.07,40.2,65.15,0,0,0,0,0
F00003,2020Q2,2020,2,2.57,0.14,94.44,96.0,48.02,48.45,0,0,0,0,0
F00003,2020Q3,2020,3,2.65,0.14,51.37,66.18,52.92,67.49,0,0,0,0,0
F00003,2020Q4,2020,4,2.43,0.14,69.07,87.42,42.72,61.42,0,0,0,0,0
F00003,2021Q1,2021,1,3.71,0.14,86.87,99.6,47.18,57.82,0,0,0,0,0
F00003,2021Q2,2021,2,3.8,0.14,60.58,87.13,43.34,66.08,0,0,0,0,0
F00003,2021Q3,2021,3,3.96,0.14,79.9,92.78,37.51,52.5,0,0,0,0,0
F00003,2021Q4,2021,4,4.07,0.14,40.3,57.31,47.62,62.64,0,0,0,0,0
F00003,2022Q1,2022,1,4.25,0.14,117.35,97.79,60.39,37.94,0,0,0,0,0
F00003,2022Q2,2022,2,3.9,0.14,69.88,89.14,37.7,57.22,0,0,0,0,0
F00003,2022Q3,2022,3,3.34,0.14,67.25,86.39,45.89,63.47,0,0,0,0,0
F00003,2022Q4,2022,4,3.42,0.14,71.95,95.54,43.77,66.34,0,0,0,0,0
F00003,2023Q1,2023,1,0.29,0.14,51.16,72.12,43.89,62.82,0,0,0,0,0
F00003,2023Q2,2023,2,0.37,0.14,73.06,82.61,56.61,67.62,0,0,0,0,0
F00003,2023Q3,2023,3,-0.51,0.14,66.78,82.57,52.42,68.64,0,0,0,0,0
F00003,2023Q4,2023,4,-0.21,0.14,75.25,82.96,45.55,53.31,0,0,0,0,0
F00003,2024Q1,2024,1,-0.01,0.14,19.14,41.67,44.95,69.96,0,0,0,0,0
F00003,2024Q2,2024,2,-0.02,0.14,57.65,72.27,52.43,64.99,0,0,0,0,0
F00003,2024Q3,2024,3,0.43,0.14,40.19,49.6,37.59,48.26,0,0,0,0,0
F00003,2024Q4,2024,4,-0.31,0.14,52.66,66.89,49.56,65.88,0,0,0,0,0
F00004,2014Q1,2014,1,0.32,0.157,42.36,60.9,43.06,58.35,0,0,0,0,0
F00004,2014Q2,2014,2,0.09,0.157,69.04,80.29,54.58,64.85,0,0,0,0,0
F00004,2014Q3,2014,3,-0.31,0.157,45.76,86.36,26.24,67.13,0,0,0,0,0
F00004,2014Q4,2014,4,-0.18,0.157,40.4,61.44,56.13,76.65,0,0,0,0,0
F00004,2015Q1,2015,1,-0.03,0.157,49.12,68.7,41.9,58.85,0,0,0,0,0
F00004,2015Q2,2015,2,0.17,0.157,67.73,91.01,53.36,74.44,0,0,0,0,0
F00004,2015Q3,2015,3,-0.06,0.157,92.99,101.21,60.84,67.26,0,0,0,0,0
F00004,2015Q4,2015,4,0.17,0.157,51.82,57.31,48.48,53.91,0,0,0,0,0
F00004,2016Q1,2016,1,0.27,0.157,34.26,86.82,33.16,88.85,0,0,0,0,0
F00004,2016Q2,2016,2,-0.14,0.157,21.47,51.44,33.69,61.6,0,0,0,0,0
F00004,2016Q3,2016,3,-0.17,0.157,31.74,66.04,24.35,62.26,0,0,0,0,0
F00004,2016Q4,2016,4,0.11,0.157,50.59,53.45,42.9,47.04,0,0,0,0,0
F00004,2017Q1,2017,1,-0.22,0.157,58.92,66.62,60.53,67.48,0,0,0,0,0
F00004,2017Q2,2017,2,-0.2,0.157,70.88,78.25,40.95,48.93,0,0,0,0,0
F00004,2017Q3,2017,3,-0.09,0.157,43.18,67.38,46.33,69.51,0,0,0,0,0
F00004,2017Q4,2017,4,0.56,0.157,88.9,77.33,59.35,51.26,0,0,0,0,0
F00004,2018Q1,2018,1,0.2,0.157,12.09,66.72,39.03,93.97,0,0,0,0,0
F00004,2018Q2,2018,2,0.43,0.157,98.97,91.33,51.88,44.49,0,0,0,0,0
F00004,2018Q3,2018,3,-0.12,0.157,52.85,62.12,34.27,43.74,0,0,0,0,0
F00004,2018Q4,2018,4,-0.14,0.157,64.05,78.85,48.13,61.33,0,0,0,0,0
F00004,2019Q1,2019,1,0.21,0.157,43.46,55.58,40.73,52.44,0,0,0,0,0
F00004,2019Q2,2019,2,-0.2,0.157,43.75,69.66,37.83,62.22,0,0,0,0,0
F00004,2019Q3,2019,3,-0.22,0.157,52.8,69.93,49.06,67.14,0,0,0,0,0
F00004,2019Q4,2019,4,-0.44,0.157,20.15,45.22,41.97,68.32,0,0,0,0,0
F00004,2020Q1,2020,1,1.65,0.157,18.08,49.0,47.59,78.16,0,0,0,0,0
F00004,2020Q2,2020,2,2.57,0.157,59.3,73.2,50.66,65.91,0,0,0,0,0
F00004,2020Q3,2020,3,2.65,0.157,70.36,75.86,48.34,53.49,0,0,0,0,0
F00004,2020Q4,2020,4,2.43,0.157,76.47,93.17,45.31,61.03,0,0,0,0,0
F00004,2021Q1,2021,1,3.71,0.157,54.78,88.49,41.13,72.96,0,0,0,0,0
F00004,2021Q2,2021,2,3.8,0.157,47.73,60.97,49.69,63.52,0,0,0,0,0
F00004,2021Q3,2021,3,3.96,0.157,68.97,93.07,44.87,67.15,0,0,0,0,0
F00004,2021Q4,2021,4,4.07,0.157,81.72,96.21,53.32,68.18,0,0,0,0,0
F00004,2022Q1,2022,1,4.25,0.157,43.99,65.87,45.78,67.62,0,0,0,0,0
F00004,2022Q2,2022,2,3.9,0.157,50.68,78.88,37.24,64.05,0,0,0,0,0
F00004,2022Q3,2022,3,3.34,0.157,67.54,59.76,46.43,40.05,0,0,0,0,0
F00004,2022Q4,2022,4,3.42,0.157,84.02,88.94,47.31,50.34,0,0,0,0,0
F00004,2023Q1,2023,1,0.29,0.157,28.49,68.26,25.84,66.93,0,0,0,0,0
F00004,2023Q2,2023,2,0.37,0.157,41.14,65.99,41.34,66.89,0,0,0,0,0
F00004,2023Q3,2023,3,-0.51,0.157,73.91,86.41,45.15,56.72,0,0,0,0,0
F00004,2023Q4,2023,4,-0.21,0.157,66.92,72.73,57.45,61.16,0,0,0,0,0
F00004,2024Q1,2024,1,-0.01,0.157,13.5,56.95,28.23,68.96,0,0,0,0,0
F00004,2024Q2,2024,2,-0.02,0.157,30.24,51.5,29.19,51.58,0,0,0,0,0
F00004,2024Q3,2024,3,0.43,0.157,14.97,51.1,31.35,66.8,0,0,0,0,0
F00004,2024Q4,2024,4,-0.31,0.157,59.91,76.48,50.92,64.9,0,0,0,0,0
F00005,2014Q1,2014,1,0.32,0.11,73.38,78.08,40.59,47.49,0,0,0,0,0
F00005,2014Q2,2014,2,0.09,0.11,42.67,63.93,41.8,65.12,0,0,0,0,0
F00005,2014Q3,2014,3,-0.31,0.11,47.4,73.95,42.33,73.19,0,0,0,0,0
F00005,2014Q4,2014,4,-0.18,0.11,97.17,90.82,50.38,51.53,0,0,0,0,0
F00005,2015Q1,2015,1,-0.03,0.11,40.7,52.02,42.03,56.6,0,0,0,0,0
F00005,2015Q2,2015,2,0.17,0.11,43.35,76.61,33.72,68.08,0,0,0,0,0
F00005,2015Q3,2015,3,-0.06,0.11,43.29,65.22,35.24,56.3,0,0,0,0,0
F00005,2015Q4,2015,4,0.17,0.11,36.04,70.65,40.98,73.69,0,0,0,0,0
F00005,2016Q1,2016,1,0.27,0.11,1.7,44.52,39.3,80.97,0,0,0,0,0
F00005,2016Q2,2016,2,-0.14,0.11,101.35,105.11,48.93,51.03,0,0,0,0,0
F00005,2016Q3,2016,3,-0.17,0.11,13.75,73.65,35.58,93.49,0,0,0,0,0
F00005,2016Q4,2016,4,0.11,0.11,71.59,80.41,56.77,63.6,0,0,0,0,0
F00005,2017Q1,2017,1,-0.22,0.11,38.41,65.9,47.9,75.51,0,0,0,0,0
F00005,2017Q2,2017,2,-0.2,0.11,33.05,49.0,45.34,56.92,0,0,0,0,0
F00005,2017Q3,2017,3,-0.09,0.11,24.92,59.54,33.54,72.04,0,0,0,0,0
F00005,2017Q4,2017,4,0.56,0.11,82.19,98.89,40.86,58.94,0,0,0,0,0
F00005,2018Q1,2018,1,0.2,0.11,69.37,86.28,41.81,63.13,0,0,0,0,0
F00005,2018Q2,2018,2,0.43,0.11,45.69,69.16,41.46,66.09,0,0,0,0,0
F00005,2018Q3,2018,3,-0.12,0.11,46.13,54.68,43.01,51.0,0,0,0,0,0
F00005,2018Q4,2018,4,-0.14,0.11,83.33,98.15,50.93,63.89,0,0,0,0,0
F00005,2019Q1,2019,1,0.21,0.11,64.09,65.71,53.57,58.09,0,0,0,0,0
F00005,2019Q2,2019,2,-0.2,0.11,2.15,49.4,42.68,85.91,0,0,0,0,0
F00005,2019Q3,2019,3,-0.22,0.11,53.75,87.83,30.19,63.92,0,0,0,0,0
F00005,2019Q4,2019,4,-0.44,0.11,59.01,82.36,19.76,41.99,0,0,0,0,0
F00005,2020Q1,2020,1,1.65,0.11,49.3,73.52,39.17,61.03,0,0,0,0,0
F00005,2020Q2,2020,2,2.57,0.11,44.18,68.61,40.28,65.87,0,0,0,0,0
F00005,2020Q3,2020,3,2.65,0.11,79.16,96.26,41.87,59.06,0,0,0,0,0
F00005,2020Q4,2020,4,2.43,0.11,72.91,69.95,46.53,44.31,0,0,0,0,0
F00005,2021Q1,2021,1,3.71,0.11,62.61,62.95,40.31,42.97,0,0,0,0,0
F00005,2021Q2,2021,2,3.8,0.11,63.33,74.73,57.24,65.23,0,0,0,0,0
F00005,2021Q3,2021,3,3.96,0.11,60.28,60.87,54.23,52.64,0,0,0,0,0
F00005,2021Q4,2021,4,4.07,0.11,71.22,74.64,46.84,49.6,0,0,0,0,0
F00005,2022Q1,2022,1,4.25,0.11,28.9,70.47,27.68,67.63,0,0,0,0,0
F00005,2022Q2,2022,2,3.9,0.11,94.96,96.59,38.92,42.92,0,0,0,0,0
F00005,2022Q3,2022,3,3.34,0.11,24.66,52.24,42.58,69.5,0,0,0,0,0
F00005,2022Q4,2022,4,3.42,0.11,43.2,51.32,49.24,59.93,0,0,0,0,0
F00005,2023Q1,2023,1,0.29,0.11,103.81,79.35,69.52,45.02,0,0,0,0,0
F00005,2023Q2,2023,2,0.37,0.11,36.14,54.67,54.53,74.57,0,0,0,0,0
F00005,2023Q3,2023,3,-0.51,0.11,60.15,58.34,39.04,40.64,0,0,0,0,0
F00005,2023Q4,2023,4,-0.21,0.11,45.84,77.62,42.91,76.2,0,0,0,0,0
F00005,2024Q1,2024,1,-0.01,0.11,60.6,84.63,32.01,56.43,0,0,0,0,0
F00005,2024Q2,2024,2,-0.02,0.11,75.35,75.33,52.66,52.9,0,0,0,0,0
F00005,2024Q3,2024,3,0.43,0.11,79.59,103.85,50.88,75.1,0,0,0,0,0
F00005,2024Q4,2024,4,-0.31,0.11,77.11,81.51,59.43,66.28,0,0,0,0,0
F00006,2014Q1,2014,1,0.32,0.08,78.39,79.43,52.49,55.72,0,0,0,0,0
F00006,2014Q2,2014,2,0.09,0.08,37.61,60.03,38.63,64.91,0,0,0,0,0
F00006,2014Q3,2014,3,-0.31,0.08,71.06,74.64,52.49,56.22,0,0,0,0,0
F00006,2014Q4,2014,4,-0.18,0.08,17.68,52.35,40.43,75.03,0,0,0,0,0
F00006,2015Q1,2015,1,-0.03,0.08,75.08,91.77,43.38,62.62,0,0,0,0,0
F00006,2015Q2,2015,2,0.17,0.08,13.9,60.58,32.98,80.48,0,0,0,0,0
F00006,2015Q3,2015,3,-0.06,0.08,26.21,37.52,45.36,60.15,0,0,0,0,0
F00006,2015Q4,2015,4,0.17,0.08,43.81,59.37,40.49,53.94,0,0,0,0,0
F00006,2016Q1,2016,1,0.27,0.08,38.08,59.98,33.73,52.41,0,0,0,0,0
F00006,2016Q2,2016,2,-0.14,0.08,19.95,47.54,32.52,58.75,0,0,0,0,0
F00006,2016Q3,2016,3,-0.17,0.08,35.14,51.6,48.83,64.42,0,0,0,0,0
F00006,2016Q4,2016,4,0.11,0.08,54.23,63.24,57.83,67.79,0,0,0,0,0
F00006,2017Q1,2017,1,-0.22,0.08,31.18,31.21,39.77,38.95,0,0,0,0,0
F00006,2017Q2,2017,2,-0.2,0.08,41.94,75.6,39.61,71.22,0,0,0,0,0
F00006,2017Q3,2017,3,-0.09,0.08,50.19,78.64,32.57,61.86,0,0,0,0,0
F00006,2017Q4,2017,4,0.56,0.08,34.82,79.05,44.43,87.83,0,0,0,0,0
F00006,2018Q1,2018,1,0.2,0.08,-0.13,63.6,23.08,86.07,0,0,0,0,0
F00006,2018Q2,2018,2,0.43,0.08,29.78,53.13,55.91,79.48,0,0,0,0,0
F00006,2018Q3,2018,3,-0.12,0.08,36.94,48.48,48.35,57.54,0,0,0,0,0
F00006,2018Q4,2018,4,-0.14,0.08,42.7,85.65,27.94,71.81,0,0,0,0,0
F00006,2019Q1,2019,1,0.21,0.08,107.11,101.14,47.77,40.13,0,0,0,0,0
F00006,2019Q2,2019,2,-0.2,0.08,38.13,70.97,47.84,76.77,0,0,0,0,0
F00006,2019Q3,2019,3,-0.22,0.08,38.0,65.05,52.76,83.53,0,0,0,0,0
F00006,2019Q4,2019,4,-0.44,0.08,34.78,64.15,53.78,85.54,0,0,0,0,0
F00006,2020Q1,2020,1,1.65,0.08,79.67,83.83,52.94,54.2,0,0,0,0,0
F00006,2020Q2,2020,2,2.57,0.08,69.88,89.37,44.28,62.61,0,0,0,0,0
F00006,2020Q3,2020,3,2.65,0.08,67.38,68.88,48.98,50.62,0,0,0,0,0
F00006,2020Q4,2020,4,2.43,0.08,71.83,78.06,46.33,54.13,0,0,0,0,0
F00006,2021Q1,2021,1,3.71,0.08,72.86,104.77,43.16,76.85,0,0,0,0,0
F00006,2021Q2,2021,2,3.8,0.08,26.23,37.04,41.95,54.33,0,0,0,0,0
F00006,2021Q3,2021,3,3.96,0.08,60.65,79.96,51.96,69.47,0,0,0,0,0
F00006,2021Q4,2021,4,4.07,0.08,44.66,66.13,38.47,59.7,0,0,0,0,0
F00006,2022Q1,2022,1,4.25,0.08,52.16,80.22,42.58,72.48,0,0,0,0,0
F00006,2022Q2,2022,2,3.9,0.08,91.27,100.22,53.81,64.11,0,0,0,0,0
F00006,2022Q3,2022,3,3.34,0.08,53.25,85.16,42.46,77.8,0,0,0,0,0
F00006,2022Q4,2022,4,3.42,0.08,88.51,105.81,48.02,66.16,0,0,0,0,0
F00006,2023Q1,2023,1,0.29,0.08,56.97,70.48,50.19,63.31,0,0,0,0,0
F00006,2023Q2,2023,2,0.37,0.08,79.92,97.05,46.61,65.51,0,0,0,0,0
F00006,2023Q3,2023,3,-0.51,0.08,52.91,72.25,47.33,64.24,0,0,0,0,0
F00006,2023Q4,2023,4,-0.21,0.08,35.56,69.54,35.9,67.52,0,0,0,0,0
F00006,2024Q1,2024,1,-0.01,0.08,66.18,83.75,50.99,68.37,0,0,0,0,0
F00006,2024Q2,2024,2,-0.02,0.08,53.39,76.24,29.28,51.84,0,0,0,0,0
F00006,2024Q3,2024,3,0.43,0.08,68.33,75.95,44.71,52.6,0,0,0,0,0
F00006,2024Q4,2024,4,-0.31,0.08,30.27,63.19,36.45,68.95,0,0,0,0,0
F00007,2014Q1,2014,1,0.32,0.163,61.4,80.56,51.13,68.6,0,0,0,0,0
F00007,2014Q2,2014,2,0.09,0.163,-12.2,56.13,33.3,99.48,0,0,0,0,0
F00007,2014Q3,2014,3,-0.31,0.163,46.17,66.85,42.12,61.63,0,0,0,0,0
F00007,2014Q4,2014,4,-0.18,0.163,30.42,41.97,37.01,48.31,0,0,0,0,0
F00007,2015Q1,2015,1,-0.03,0.163,30.48,59.74,39.5,67.59,0,0,0,0,0
F00007,2015Q2,2015,2,0.17,0.163,56.12,84.29,42.05,67.57,0,0,0,0,0
F00007,2015Q3,2015,3,-0.06,0.163,52.37,79.85,41.76,69.91,0,0,0,0,0
F00007,2015Q4,2015,4,0.17,0.163,57.03,67.7,46.88,60.24,0,0,0,0,0
F00007,2016Q1,2016,1,0.27,0.163,80.76,84.5,49.08,50.62,0,0,0,0,0
F00007,2016Q2,2016,2,-0.14,0.163,30.91,60.04,43.04,70.38,0,0,0,0,0
F00007,2016Q3,2016,3,-0.17,0.163,90.89,87.66,45.03,40.85,0,0,0,0,0
F00007,2016Q4,2016,4,0.11,0.163,10.95,31.42,39.07,58.32,0,0,0,0,0
F00007,2017Q1,2017,1,-0.22,0.163,52.1,65.12,41.85,57.88,0,0,0,0,0
F00007,2017Q2,2017,2,-0.2,0.163,40.8,88.22,35.87,80.05,0,0,0,0,0
F00007,2017Q3,2017,3,-0.09,0.163,78.01,57.78,57.2,38.13,0,0,0,0,0
F00007,2017Q4,2017,4,0.56,0.163,37.51,52.21,44.3,62.39,0,0,0,0,0
